Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
161814.64,2,1,0,169381.9,0
0,2,1,1,169915.02,0
0,2,0,0,88852.47,0
63095.01,1,1,1,40645.81,0
118287.01,2,0,0,60427.3,0
106854.21,1,0,1,157959.02,1
49512.55,1,1,0,133007.34,0
0,2,0,0,176576.62,0
105799.32,2,1,0,34888.04,1
0,1,1,1,28737.71,1
114722.05,2,1,1,98178.57,0
0,1,0,1,125010.24,0
0,2,1,1,167984.61,0
0,1,1,0,4861.72,1
99564.22,1,1,1,108872.45,1
170557.91,2,1,0,198252.88,0
0,2,1,1,26960.31,0
74596.15,3,1,1,85746.52,1
96888.39,1,1,0,77206.25,1
130830.22,1,1,0,61048.53,0
0,2,0,1,111981.19,0
0,2,1,0,62232.6,0
0,2,0,1,156105.03,0
119714.25,2,0,1,150135.38,0
113978.97,2,0,1,93146.11,0
100160.75,1,1,0,33462.94,1
0,1,1,1,144375,0
116220.5,3,1,0,55803.96,1
0,3,1,0,89048.46,1
81173.83,2,0,1,162812.16,0
0,2,1,0,136259.65,0
116803.8,1,1,0,124052.97,0
105961.68,2,0,1,74158.8,0
117411.6,1,1,1,45071.09,1
0,2,1,0,62030.06,0
123497.58,1,1,0,131953.23,1
152400.51,2,1,0,79414,0
0,2,1,1,199638.56,0
103097.85,1,1,1,157577.29,0
126418.14,1,1,0,134420.75,1
77846.9,1,0,0,99805.99,0
0,2,1,1,97932.68,0
0,2,0,1,170968.99,0
79731.91,1,1,1,57558.95,0
0,1,0,0,176713.47,0
0,2,0,1,34283.23,0
0,2,1,1,198637.34,0
37266.67,2,0,0,156917.12,0
127992.25,1,1,1,50457.2,0
54901.01,1,1,1,140075.55,0
108748.08,2,1,1,65323.11,0
99906.19,1,1,0,64323.24,0
184686.41,2,1,0,14956.44,0
110654.02,1,0,1,111879.21,0
79019.8,1,1,1,18606.23,0
99240.51,1,1,0,123137.01,0
0,2,1,1,148528.24,0
0,2,1,0,13898.31,0
0,1,0,0,81259.25,1
52436.2,1,1,0,161051.75,0
0,2,0,1,191599.67,0
100337.96,3,1,0,48559.19,1
149297.19,2,1,1,186339.74,0
0,2,1,0,33159.37,0
145605.44,1,0,1,93883.53,0
0,2,1,1,110899.3,0
0,1,1,1,11199.04,1
0,2,1,0,189992.97,0
84026.86,1,0,1,164255.69,0
0,1,1,0,152167.79,1
0,2,1,1,33949.67,0
0,2,1,1,68143.93,0
138718.92,1,1,1,47251.79,1
118274.71,1,1,1,25885.72,0
174185.98,2,0,1,192633.85,0
113208.86,2,1,0,34577.36,0
103907.28,1,1,0,161229.84,0
119023.28,1,1,0,100816.29,0
166297.89,1,1,1,181694.44,0
0,2,1,0,79078.91,0
63227,1,0,1,137316.32,0
94521.17,2,1,0,194926.86,0
0,2,1,0,51285.49,0
112822.26,1,0,0,150401.53,1
0,2,1,1,112491.96,0
135903.33,1,1,0,73656.38,0
125169.26,1,1,1,106636.89,0
0,3,1,0,155853.52,1
149117.31,1,1,1,162599.51,0
0,2,1,1,103737.82,0
0,2,1,0,160990.27,0
132311.71,1,0,0,15462.84,0
0,2,1,0,10334.05,0
0,2,1,1,190686.16,0
118082.89,1,0,0,94440.45,0
119266.69,1,1,1,28257.63,0
0,1,1,1,170034.95,1
156847.29,2,1,0,31824.29,0
137104.47,1,1,0,127166.49,1
78398.69,1,1,0,44937.01,0
0,2,1,1,188603.07,0
63669.42,1,1,0,145111.37,0
0,2,0,0,171463.83,0
135296.33,1,1,0,182822.5,0
153804.44,1,1,1,87213.33,0
0,2,0,0,57175.32,0
147069.78,1,1,0,120540.83,1
0,2,1,1,28714.34,0
0,1,1,0,85426.28,0
95741.75,1,1,0,46170.75,0
145965.33,1,1,1,64448.36,0
141441.75,1,1,1,16278.97,0
139290.41,1,1,0,182855.42,1
0,2,0,0,50404.72,0
0,2,1,0,107640.25,0
144428.87,1,1,0,134132.65,0
0,2,1,0,103480.69,0
95441.27,1,1,0,108761.05,1
144848.74,1,1,1,179012.3,0
116244.14,2,1,1,95145.14,0
0,2,0,1,72143.44,0
146502.07,1,1,0,19162.89,0
117028.6,2,0,1,144680.18,0
112013.81,1,1,0,177772.03,1
108269.37,1,1,0,5597.94,0
182123.79,1,1,0,116828.51,1
150923.74,2,0,1,174652.51,0
0,2,1,0,2010.98,0
165272.13,1,1,0,14109.85,1
115301.31,1,1,0,43527.4,1
129502.49,2,0,1,86099.23,1
118342.26,1,0,0,161574.19,0
0,2,1,1,38970.14,0
0,2,0,0,127587.22,0
0,2,1,0,30380.12,0
0,2,1,0,90908.95,0
106937.05,2,1,0,138275.01,0
170331.37,1,1,1,32171.79,0
114510.85,1,1,1,126143.23,0
0,2,1,1,129892.93,0
107594.11,2,1,1,102416.84,0
81273.13,1,1,1,18719.67,0
169399.6,1,1,0,61936.22,0
0,2,1,1,78358.94,0
187841.99,2,1,1,147224.27,0
0,2,1,0,160979.66,0
126776.3,2,1,1,132298.49,0
126436.29,1,1,0,174248.52,1
101960.74,1,1,1,123547.28,0
0,2,0,1,32790.02,0
0,2,0,1,181543.67,0
150842.93,1,0,1,2319.96,1
102535.57,1,1,1,189543.19,0
99027.61,2,1,0,10940.4,0
0,2,1,1,199493.38,0
0,1,1,1,188193.25,0
87271.41,2,1,0,172572.64,0
102742.91,2,1,1,189339.6,0
40105.51,2,0,1,53512.16,0
152265.43,1,1,0,34004.44,0
141947.67,1,1,1,10598.29,0
106307.91,2,0,1,113428.77,0
107884.81,2,1,1,183487.98,0
125013.72,1,1,1,187658.09,0
58469.37,2,1,1,172459.39,0
0,1,0,1,21016,0
117231.63,3,1,1,122381.02,1
152390.26,1,1,0,128123.66,0
34013.63,1,1,0,19570.63,0
0,3,0,0,188150.6,1
0,2,1,1,111020.24,0
101583.11,2,1,0,123775.15,0
77168.87,2,0,1,146700.22,0
124695.72,2,1,0,145251.35,0
105934.96,1,1,0,82463.69,0
0,1,1,1,15928.49,0
0,2,1,0,45886.33,0
0,2,1,1,186489.95,0
0,2,0,1,162922.65,0
161525.96,2,1,0,9262.77,0
147199.07,1,1,1,84932.4,0
183102.29,1,1,1,71557.12,0
127209,2,1,0,77405.95,1
0,2,0,0,417.41,1
97378.54,1,1,1,71405.17,0
136925.09,2,0,1,153400.24,0
54503.55,1,1,1,371.05,0
155726.85,1,1,0,67789.99,0
0,2,0,1,145894.9,0
135842.41,1,1,0,183840.51,1
63349.75,1,1,0,108887.44,0
129499.42,1,1,1,154071.27,0
0,2,0,1,179291.85,0
70438.01,2,0,1,56937.43,0
0,2,1,1,112239.03,0
0,1,1,0,45909.87,0
141434.04,1,0,0,173779.25,1
0,2,1,0,125696.26,0
152958.29,2,1,1,159585.61,0
138306.34,1,1,0,106761.47,0
0,2,0,0,129590.18,0
0,2,1,1,80006.65,0
124328.84,1,1,1,140451.52,0
181461.48,3,1,1,187929.43,1
0,2,1,0,167155.36,0
0,2,0,0,191420.71,0
110368.03,1,0,0,11384.45,1
89588.35,1,1,1,94898.1,0
0,2,0,0,106781.59,0
0,2,0,0,159508.52,0
115924.89,1,1,0,93524.19,1
0,2,1,0,87168.46,0
111756.5,1,1,0,8128.32,1
0,1,1,0,125518.32,0
0,1,1,0,48963.59,0
162923.85,1,1,0,98368.24,0
124576.65,2,1,0,148584.61,0
80793.58,1,1,1,27474.81,0
71340.09,1,1,0,76192.21,0
99282.63,1,0,0,134600.94,1
137946.39,1,1,1,72467.99,1
127892.57,2,0,1,199645.45,0
101084.36,1,1,0,42749.85,0
114754.08,1,1,0,136050.44,1
0,1,0,0,73564.44,0
99286.98,1,0,1,85578.63,0
79871.02,2,1,0,129826.89,0
104088.59,2,0,0,119666,0
168190.33,2,1,0,68052.08,0
85679.25,1,1,1,164104.74,0
0,1,0,0,80190.36,0
0,2,1,0,84126.75,0
121551.58,2,1,1,70179,0
122220.19,1,1,1,118024.1,0
116528.15,1,0,0,145704.19,1
77780.29,1,0,1,183049.41,0
0,1,0,0,120906.83,0
125832.2,1,1,1,100433.83,0
68065.8,1,0,0,138777,1
127299.34,2,1,0,124694.99,0
174937.64,1,1,0,40084.32,0
0,2,0,1,119232.33,0
110071.1,1,0,0,43921.36,0
139432.37,1,1,0,62222.81,0
127357.76,1,0,1,56577,0
0,2,1,0,164253.35,0
0,1,1,1,7666.73,0
0,2,1,0,68487.51,0
95556.31,1,0,1,199273.98,1
0,1,1,1,186062.36,0
111681.98,2,1,1,195711.16,0
0,2,1,0,36692.17,0
108738.71,2,1,0,106920.57,0
133950.37,1,1,1,48725.68,1
0,2,1,1,167036.94,0
89968.69,1,1,0,68777.26,0
0,2,1,1,18924.92,0
130878.75,3,1,0,71905.77,1
0,2,1,0,64833.28,0
0,2,1,1,184843.77,0
134169.62,1,1,1,176730.02,0
149762.08,1,1,0,20629.4,1
93844.69,1,1,0,28415.36,0
0,2,1,0,77231.27,0
0,2,1,0,102750.7,0
141078.37,1,0,0,34580.8,1
117992.59,1,1,1,183598.77,0
100812.33,2,1,0,147358.27,0
0,1,1,1,108469.2,0
80262.6,1,1,1,20612.82,0
156478.62,1,0,1,181196.76,0
0,2,1,0,160249.1,0
0,3,0,0,110783.28,0
115217.99,2,1,0,144995.33,0
0,2,1,0,150227.85,1
155470.55,1,1,1,53718.28,0
0,2,1,0,75248.3,0
135096.77,1,1,1,14353.43,1
0,2,0,1,130486.57,0
180075.22,1,1,1,100127.71,0
97541.24,1,1,1,196356.17,0
156067.05,1,1,1,9983.88,0
81550.94,2,0,1,118974.77,0
0,1,0,0,194998.34,1
170061.92,2,0,0,134901.34,1
92310.54,2,1,1,72924.56,0
169089.38,2,1,0,101057.95,0
80613.93,1,1,1,142838.64,0
121581.56,2,1,1,127059.04,0
0,1,0,1,116503.92,1
